,ID,experiment_ID,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,scaffold_type,reaction_date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,normalized_abs,net weight mg,ug/well,mg/biopsy,ug/cm2
77,18,HP2,VA-0602-2-3,sample,602,2,0602-2,8,3,1665.9,1665.9,1655.535,1655.535,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.182,Plate1,F10,0.11199999999999999,10.365000000000009,-0.01049714695255184,-0.00262428673813796,-0.3712606279690335
80,13,HP2,VA-0602-1-1,sample,602,1,0602-1,8,1,1646.415,1646.415,1634.67,1634.67,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.399,Plate1,A11,0.329,11.74499999999989,-0.010570037751270363,-0.0026425094378175907,-3.36454751356524
81,14,HP2,VA-0602-1-2,sample,602,1,0602-1,8,2,1675.795,1675.795,1664.3,1664.3,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.432,Plate1,B11,0.362,11.495000000000118,-0.010581122527112349,-0.002645280631778087,-0.8420189768254689
82,15,HP2,VA-0602-1-3,sample,602,1,0602-1,8,3,1658.43,1658.43,1646.84,1646.84,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.514,Plate1,C11,0.444,11.590000000000146,-0.010608666515568197,-0.002652166628892049,-0.3752048256813671
83,16,HP2,VA-0602-2-1,sample,602,2,0602-2,8,1,1648.685,1648.685,1638.37,1638.37,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.433,Plate1,D11,0.363,10.315000000000055,-0.01058145842941059,-0.002645364607352647,-3.368182828324197
84,17,HP2,VA-0602-2-2,sample,602,2,0602-2,8,2,1667.53,1667.53,1656.865,1656.865,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.503,Plate1,E11,0.433,10.664999999999964,-0.010604971590287534,-0.0026512428975718834,-0.8439168249716896
85,18,HP2,VA-0602-2-3,sample,602,2,0602-2,8,3,1665.9,1665.9,1655.535,1655.535,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.143,Plate1,F11,0.07299999999999998,10.365000000000009,-0.0104840467629204,-0.0026210116907301,-0.3707973035389702
88,13,HP2,VA-0602-1-1,sample,602,1,0602-1,8,1,1646.415,1646.415,1634.67,1634.67,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.404,Plate1,A12,0.334,11.74499999999989,-0.010571717262761572,-0.002642929315690393,-3.3650821186768516
89,14,HP2,VA-0602-1-2,sample,602,1,0602-1,8,2,1675.795,1675.795,1664.3,1664.3,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.418,Plate1,B12,0.348,11.495000000000118,-0.010576419894936961,-0.0026441049737342404,-0.8416447532473409
90,15,HP2,VA-0602-1-3,sample,602,1,0602-1,8,3,1658.43,1658.43,1646.84,1646.84,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.416,Plate1,C12,0.346,11.590000000000146,-0.010575748090340478,-0.0026439370225851194,-0.3740405745494132
91,16,HP2,VA-0602-2-1,sample,602,2,0602-2,8,1,1648.685,1648.685,1638.37,1638.37,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.418,Plate1,D12,0.348,10.315000000000055,-0.010576419894936961,-0.0026441049737342404,-3.3665790129893636
92,17,HP2,VA-0602-2-2,sample,602,2,0602-2,8,2,1667.53,1667.53,1656.865,1656.865,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.387,Plate1,E12,0.317,10.664999999999964,-0.010566006923691458,-0.0026415017309228644,-0.8408161153243431
93,18,HP2,VA-0602-2-3,sample,602,2,0602-2,8,3,1665.9,1665.9,1655.535,1655.535,VA,,HPL,PLA,07-26-2023,500,100,1000,20,0.155,Plate1,F12,0.08499999999999999,10.365000000000009,-0.010488077590499306,-0.0026220193976248265,-0.3709398649020666
96,19,HP2,VA-0602-3-1,sample,602,3,0602-3,8,1,1647.165,1647.165,1636.29,1636.29,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.658,Plate2,A1,0.5880000000000001,10.875,-0.01065703644651505,-0.002664259111628763,-3.3922400583467156
97,20,HP2,VA-0602-3-2,sample,602,3,0602-3,8,2,1645.895,1645.895,1633.64,1633.64,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.608,Plate2,B1,0.538,12.254999999999882,-0.010640241331602948,-0.002660060332900737,-0.84672350180765
98,21,HP2,VA-0602-3-3,sample,602,3,0602-3,8,3,1647.46,1647.46,1636.095,1636.095,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.678,Plate2,C1,0.6080000000000001,11.365000000000009,-0.010663754492479891,-0.002665938623119973,-0.37715316431035123
99,22,HP2,VA-0602-4-1,sample,602,4,0602-4,8,1,1666.315,1666.315,1654.245,1654.245,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.581,Plate2,D1,0.5109999999999999,12.070000000000164,-0.010631171969550412,-0.0026577929923876026,-3.384007139627897
100,23,HP2,VA-0602-4-2,sample,602,4,0602-4,8,2,1651.46,1651.46,1639.055,1639.055,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.581,Plate2,E1,0.5109999999999999,12.404999999999973,-0.010631171969550412,-0.0026577929923876026,-0.8460017849069742
101,24,HP2,VA-0602-4-3,sample,602,4,0602-4,8,3,1671.81,1671.81,1659.435,1659.435,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.611,Plate2,F1,0.5409999999999999,12.375,-0.010641249038497674,-0.002660312259624419,-0.3763571966997297
104,19,HP2,VA-0602-3-1,sample,602,3,0602-3,8,1,1647.165,1647.165,1636.29,1636.29,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.578,Plate2,A2,0.508,10.875,-0.010630164262655686,-0.0026575410656639216,-3.383686376560931
105,20,HP2,VA-0602-3-2,sample,602,3,0602-3,8,2,1645.895,1645.895,1633.64,1633.64,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.594,Plate2,B2,0.524,12.254999999999882,-0.01063553869942756,-0.0026588846748568894,-0.8463492782295217
106,21,HP2,VA-0602-3-3,sample,602,3,0602-3,8,3,1647.46,1647.46,1636.095,1636.095,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.612,Plate2,C2,0.542,11.365000000000009,-0.010641584940795916,-0.002660396235198979,-0.376369076813321
107,22,HP2,VA-0602-4-1,sample,602,4,0602-4,8,1,1666.315,1666.315,1654.245,1654.245,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.589,Plate2,D2,0.5189999999999999,12.070000000000164,-0.01063385918793635,-0.0026584647969840874,-3.3848625078064765
108,23,HP2,VA-0602-4-2,sample,602,4,0602-4,8,2,1651.46,1651.46,1639.055,1639.055,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.564,Plate2,E2,0.49399999999999994,12.404999999999973,-0.010625461630480297,-0.0026563654076200744,-0.8455473705621046
109,24,HP2,VA-0602-4-3,sample,602,4,0602-4,8,3,1671.81,1671.81,1659.435,1659.435,VA,,FBS,PLA,07-26-2023,500,100,1000,20,0.569,Plate2,F2,0.49899999999999994,12.375,-0.010627141141971509,-0.0026567852854928772,-0.37585823192889223
