,unique_id,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
154,HP71-51,HP71-20240123,B4-3,sample,hide,,B4-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2162.79,2162.82,2153.74,2153.76,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.416,Plate3,C10,,1.416,,9.055000000000291,1.0470465831990683,0.20940931663981366,0.16752745331185093,0.3332852787272223,0.17204527688208293,0.17204527688208293,0.342273203142466,0.342273203142466,0.21505659610260364,0.21505659610260364
155,HP71-51,HP71-20240123,B4-3,sample,hide,,B4-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2162.79,2162.82,2153.74,2153.76,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.454,Plate3,D10,,1.454,,9.055000000000291,1.077703243139928,0.2155406486279856,0.1724325189023885,0.3430435966637726,0.17204527688208293,0.17204527688208293,0.342273203142466,0.342273203142466,0.21505659610260364,0.21505659610260364
156,HP71-52,HP71-20240123,B4-4,sample,hide,,B4-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2129.5,2129.37,2120.35,2120.37,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.022,Plate3,E5,,1.022,,9.075000000000273,0.7291854248648918,0.14583708497297837,0.1166696679783827,0.23210692959562276,0.11118373935738673,0.11118373935738673,0.22119302137711264,0.22119302137711264,0.13897967419673346,0.13897967419673346
157,HP71-52,HP71-20240123,B4-4,sample,hide,,B4-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2129.5,2129.37,2120.35,2120.37,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.986,Plate3,F5,,0.986,,9.075000000000273,0.7001422733419721,0.14002845466839442,0.11202276373471554,0.22286220733994358,0.11118373935738673,0.11118373935738673,0.22119302137711264,0.22119302137711264,0.13897967419673346,0.13897967419673346
158,HP71-52,HP71-20240123,B4-4,sample,hide,,B4-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2129.5,2129.37,2120.35,2120.37,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.9670000000000001,Plate3,G5,,0.9670000000000001,,9.075000000000273,0.6848139433715423,0.13696278867430847,0.10957023093944679,0.21798304837166854,0.11118373935738673,0.11118373935738673,0.22119302137711264,0.22119302137711264,0.13897967419673346,0.13897967419673346
159,HP71-52,HP71-20240123,B4-4,sample,hide,,B4-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2129.5,2129.37,2120.35,2120.37,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.973,Plate3,H5,,0.973,,9.075000000000273,0.6896544686253622,0.13793089372507245,0.11034471498005796,0.2195238354142817,0.11118373935738673,0.11118373935738673,0.22119302137711264,0.22119302137711264,0.13897967419673346,0.13897967419673346
160,HP71-6,HP71-20240123,Hydroxyproline St6,standard,liquid,,,,,,,,,,,,,GU,1.0,,,2/6/24,1.4369999999999998,Plate1,E7,,1.4369999999999998,0.9898526633260841,,,,,,,,,,,
161,HP71-6,HP71-20240123,Hydroxyproline St6,standard,liquid,,,,,,,,,,,,,GU,1.0,,,2/6/24,1.331,Plate1,F7,,1.331,0.9898526633260841,,,,,,,,,,,
162,HP71-6,HP71-20240123,Hydroxyproline St6,standard,liquid,,,,,,,,,,,,,GU,1.0,,,2/6/24,1.365,Plate2,E7,,1.365,0.9982125612457247,,,,,,,,,,,
163,HP71-6,HP71-20240123,Hydroxyproline St6,standard,liquid,,,,,,,,,,,,,GU,1.0,,,2/6/24,1.3430000000000002,Plate2,F7,,1.3430000000000002,0.9982125612457247,,,,,,,,,,,
164,HP71-6,HP71-20240123,Hydroxyproline St6,standard,liquid,,,,,,,,,,,,,GU,1.0,,,2/6/24,1.335,Plate3,E7,,1.335,0.9950160661632029,,,,,,,,,,,
165,HP71-6,HP71-20240123,Hydroxyproline St6,standard,liquid,,,,,,,,,,,,,GU,1.0,,,2/6/24,1.325,Plate3,F7,,1.325,0.9950160661632029,,,,,,,,,,,
166,HP71-5,HP71-20240123,Hydroxyproline St5,standard,liquid,,,,,,,,,,,,,GU,0.8,,,2/6/24,1.218,Plate1,E8,,1.218,0.9898526633260841,,,,,,,,,,,
167,HP71-5,HP71-20240123,Hydroxyproline St5,standard,liquid,,,,,,,,,,,,,GU,0.8,,,2/6/24,1.107,Plate1,F8,,1.107,0.9898526633260841,,,,,,,,,,,
168,HP71-5,HP71-20240123,Hydroxyproline St5,standard,liquid,,,,,,,,,,,,,GU,0.8,,,2/6/24,1.105,Plate2,E8,,1.105,0.9982125612457247,,,,,,,,,,,
169,HP71-5,HP71-20240123,Hydroxyproline St5,standard,liquid,,,,,,,,,,,,,GU,0.8,,,2/6/24,1.109,Plate2,F8,,1.109,0.9982125612457247,,,,,,,,,,,
170,HP71-5,HP71-20240123,Hydroxyproline St5,standard,liquid,,,,,,,,,,,,,GU,0.8,,,2/6/24,1.128,Plate3,E8,,1.128,0.9950160661632029,,,,,,,,,,,
171,HP71-5,HP71-20240123,Hydroxyproline St5,standard,liquid,,,,,,,,,,,,,GU,0.8,,,2/6/24,1.072,Plate3,F8,,1.072,0.9950160661632029,,,,,,,,,,,
172,HP71-4,HP71-20240123,Hydroxyproline St4,standard,liquid,,,,,,,,,,,,,GU,0.6,,,2/6/24,0.961,Plate1,E9,,0.961,0.9898526633260841,,,,,,,,,,,
173,HP71-4,HP71-20240123,Hydroxyproline St4,standard,liquid,,,,,,,,,,,,,GU,0.6,,,2/6/24,0.843,Plate1,F9,,0.843,0.9898526633260841,,,,,,,,,,,
174,HP71-4,HP71-20240123,Hydroxyproline St4,standard,liquid,,,,,,,,,,,,,GU,0.6,,,2/6/24,0.895,Plate2,E9,,0.895,0.9982125612457247,,,,,,,,,,,
