"id","experiment_id","biopsy_id","biomaterial_id","mg_per_biopsy_mean","mg_per_biopsy_std","mg_per_ml_mean","mg_per_ml_std","mg_per_cm2_mean","mg_per_cm2_std","net_weight_mg","tissue_areal_density_mg_per_cm2","sample_id","hp_sid"
125,"HP10-20231006","20230925-A5","V2P1923-300116","0.012942799",NULL,"0.012942799",NULL,"0.02574888",NULL,"18.69","37.18257358",NULL,NULL
126,"HP10-20231006","20230925-A6","V2P1923-300116","0.011636516999999999",NULL,"0.011636516999999999",NULL,"0.023150115",NULL,"-1.3","-2.586267825",NULL,NULL
127,"HP10-20231006","20230925-B4","V2P1923-300116","0.00497448",NULL,"0.00497448",NULL,"0.009896414000000001",NULL,"10.19","20.27236088",NULL,NULL
128,"HP10-20231006","20230925-B5","V2P1923-300116","0.003406942",NULL,"0.003406942",NULL,"0.006777895999999999",NULL,"8.205","16.32332885",NULL,NULL
129,"HP10-20231006","20230925-B6","V2P1923-300116","0.002623173",NULL,"0.002623173",NULL,"0.005218637",NULL,"6.715","13.35906804",NULL,NULL
130,"HP10-20231006","20230925-C4","V2P1923-300116","0.016077875",NULL,"0.016077875",NULL,"0.031985916",NULL,"-6.595","-13.12033562",NULL,NULL
131,"HP10-20231006","20230925-C5","V2P1923-300116","0.014379709",NULL,"0.014379709",NULL,"0.028607521",NULL,"0.35","0.696302876",NULL,NULL
132,"HP10-20231006","20230925-C6","V2P1923-300116","0.012812171",NULL,"0.012812171",NULL,"0.025489003",NULL,"5.625","11.19058194",NULL,NULL
133,"HP10-20231006","20230925-D4","PET723-100116","0.011505888999999998",NULL,"0.011505888999999998",NULL,"0.022890237999999997",NULL,"9.22","18.34260719",NULL,NULL
134,"HP10-20231006","20230925-D5","PET723-100116","0.014118452",NULL,"0.014118452",NULL,"0.028087768",NULL,"-12.205","-24.28107601",NULL,NULL
135,"HP10-20231006","20230925-D6","PET723-100116","0.012681541999999999",NULL,"0.012681541999999999",NULL,"0.025229127",NULL,"22.345","44.45396504",NULL,NULL
136,"HP10-20231006","20230925-E1","V2P1923-300115","0.016729682",NULL,"0.016729682",NULL,"0.033282645",NULL,"6.42","12.77218418",NULL,NULL
137,"HP10-20231006","20230925-E2","V2P1923-300115","0.013316147",NULL,"0.013316147",NULL,"0.026491632999999997",NULL,"7.845","15.60713161",NULL,NULL
138,"HP10-20231006","20230925-E3","V2P1923-300115","0.017648711",NULL,"0.017648711",NULL,"0.035110994",NULL,"5.19","10.32517693",NULL,NULL
139,"HP10-20231006","20230925-E7","V2P1923-300115","0.016729682",NULL,"0.016729682",NULL,"0.033282645",NULL,"6.675","13.27949056",NULL,NULL
140,"HP10-20231006","20230925-E8","V2P1923-300115","0.014497755",NULL,"0.014497755",NULL,"0.028842367999999997",NULL,"6.18","12.29471935",NULL,NULL
141,"HP10-20231006","20230925-F1","V2P1923-300116","0.016598392",NULL,"0.016598392",NULL,"0.033021452",NULL,"8.005","15.92544149",NULL,NULL
142,"HP10-20231006","20230925-F2","V2P1923-300116","0.015810653",NULL,"0.015810653",NULL,"0.031454295",NULL,"6.075","12.08582849",NULL,NULL
143,"HP10-20231006","20230925-F3","V2P1923-300116","0.01817387",NULL,"0.01817387",NULL,"0.036155765",NULL,"8.11","16.13433236",NULL,NULL
144,"HP10-20231006","20230925-F7","V2P1923-300116","0.017517421000000002",NULL,"0.017517421000000002",NULL,"0.034849801",NULL,"5.625","11.19058194",NULL,NULL
145,"HP10-20231006","20230925-F8","V2P1923-300116","0.015154204",NULL,"0.015154204",NULL,"0.030148332000000003",NULL,"6.955","13.83653287",NULL,NULL
146,"HP10-20231006","20230925-G1","V2P1923-300116","0.013972596",NULL,"0.013972596",NULL,"0.027797597",NULL,"5.125","10.19586354",NULL,NULL
147,"HP10-20231006","20230925-G2","V2P1923-300116","0.01778",NULL,"0.01778",NULL,"0.035372187",NULL,"7.92","15.75633937",NULL,NULL
148,"HP10-20231006","20230925-G3","V2P1923-300116","0.014497755",NULL,"0.014497755",NULL,"0.028842367999999997",NULL,"5.88","11.69788832",NULL,NULL
149,"HP7-20230913","20230810-1","BM0723PE350","0.174032701","0.014340843",NULL,NULL,"0.346227058","0.028530201","10.47375",NULL,NULL,NULL
150,"HP7-20230913","20230810-2","BM0723RP150","0.18682824399999998",NULL,NULL,NULL,"0.37168298200000005",NULL,"8.705",NULL,NULL,NULL
151,"HP7-20230913","20230810-2","BM0723RP350","0.201885796","0.020970323",NULL,NULL,"0.40163903","0.041719133","8.56625",NULL,NULL,NULL
152,"HP7-20230913","20230810-3","BM0723RP150","0.25435089899999996","0.035228194",NULL,NULL,"0.506015035","0.070084265","8.588333333",NULL,NULL,NULL
