,hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg_x,tissue_areal_density_mg_per_cm2
8279,HP45-1311,HP45-20231201,,B-D07,No_ChT_EXP50_-B-D07-1,,,0.004059885,,,,,
8282,HP45-1312,HP45-20231201,,B-D07,EXP 50-B-D07-2,,,0.015635569,,,,,
8286,HP45-1313,HP45-20231201,,B-D07,No_ChT_EXP50_-B-D07-2,,,0.003323251,,,,,
8289,HP45-1314,HP45-20231201,,B-D07,EXP 50-B-D07-3,,,0.017898089,,,,,
8293,HP45-1315,HP45-20231201,,B-D07,No_ChT_EXP50_-B-D07-3,,,0.003323251,,,,,
8296,HP45-1316,HP45-20231201,,B-D07,EXP 50-B-D07-4,,,0.020265843,,,,,
8300,HP45-1317,HP45-20231201,,B-D07,No_ChT_EXP50_-B-D07-4,,,0.004375586,,,,,
8303,HP45-1318,HP45-20231201,,B-D08,EXP 50-B-D08-1,,,0.01626697,,,,,
8307,HP45-1319,HP45-20231201,,B-D08,No_ChT_EXP50_-B-D08-1,,,0.004270352,,,,,
8310,HP45-1320,HP45-20231201,,B-D08,EXP 50-B-D08-2,,,0.014898935,,,,,
8314,HP45-1321,HP45-20231201,,B-D08,No_ChT_EXP50_-B-D08-2,,,0.003533718,,,,,
8317,HP45-1322,HP45-20231201,,B-D08,EXP 50-B-D08-3,,,0.016003886,,,,,
8321,HP45-1323,HP45-20231201,,B-D08,No_ChT_EXP50_-B-D08-3,,,0.003638951,,,,,
8324,HP45-1324,HP45-20231201,,B-D08,EXP 50-B-D08-4,,,0.019950142,,,,,
8328,HP45-1325,HP45-20231201,,B-D08,No_ChT_EXP50_-B-D08-4,,,0.005322687,,,,,
8331,HP45-1326,HP45-20231201,,B-D09,EXP 50-B-D09-1,,,0.016530054,,,,,
8335,HP45-1327,HP45-20231201,,B-D09,No_ChT_EXP50_-B-D09-1,,,0.005322687,,,,,
8338,HP45-1328,HP45-20231201,,B-D09,EXP 50-B-D09-2,,,0.01610912,,,,,
8342,HP45-1329,HP45-20231201,,B-D09,No_ChT_EXP50_-B-D09-2,,,0.004270352,,,,,
8345,HP45-1330,HP45-20231201,,B-D09,EXP 50-B-D09-3,,,0.019213508,,,,,
8349,HP45-1331,HP45-20231201,,B-D09,No_ChT_EXP50_-B-D09-3,,,0.00479652,,,,,
8352,HP45-1332,HP45-20231201,,B-D09,EXP 50-B-D09-4,,,0.020055376,,,,,
8356,HP45-1333,HP45-20231201,,B-D09,No_ChT_EXP50_-B-D09-4,,,0.006059322,,,,,
8371,HP45-1334,HP45-20231201,,B-D10,EXP 50-B-D10-1,,,0.017395326,,,,,
8375,HP45-1335,HP45-20231201,,B-D10,No_ChT_EXP50_-B-D10-1,,,0.004041731,,,,,
8378,HP45-1336,HP45-20231201,,B-D10,EXP 50-B-D10-2,,,0.017491395,,,,,
8382,HP45-1337,HP45-20231201,,B-D10,No_ChT_EXP50_-B-D10-2,,,0.003945662,,,,,
8385,HP45-1338,HP45-20231201,,B-D10,EXP 50-B-D10-3,,,0.019460811,,,,,
8389,HP45-1339,HP45-20231201,,B-D10,No_ChT_EXP50_-B-D10-3,,,0.003465317,,,,,
8392,HP45-1340,HP45-20231201,,B-D10,EXP 50-B-D10-4,,,0.019220638,,,,,
8396,HP45-1341,HP45-20231201,,B-D10,No_ChT_EXP50_-B-D10-4,,,0.004426007,,,,,
8399,HP45-1342,HP45-20231201,,B-D11,EXP 50-B-D11-1,,,0.017923706,,,,,
8403,HP45-1343,HP45-20231201,,B-D11,No_ChT_EXP50_-B-D11-1,,,0.01009408,,,,,
8406,HP45-1344,HP45-20231201,,B-D11,EXP 50-B-D11-2,,,0.02051757,,,,,
8410,HP45-1345,HP45-20231201,,B-D11,No_ChT_EXP50_-B-D11-2,,,0.005002422,,,,,
8413,HP45-1346,HP45-20231201,,B-D11,EXP 50-B-D11-3,,,0.024360331,,,,,
8417,HP45-1347,HP45-20231201,,B-D11,No_ChT_EXP50_-B-D11-3,,,0.005098491,,,,,
8420,HP45-1348,HP45-20231201,,B-D11,EXP 50-B-D11-4,,,0.033150647,,,,,
8424,HP45-1349,HP45-20231201,,B-D11,No_ChT_EXP50_-B-D11-4,,,0.01009408,,,,,
8427,HP45-1350,HP45-20231201,,Gelatin_5,Gelatin_5,,,0.058096723,,,,,
8428,HP45-1351,HP45-20231201,,Gelatin_5,Gelatin_5,,,0.061216141,,,,,
8431,HP45-1352,HP45-20231201,,Gelatin_2.5,Gelatin_2.5,,,0.04394632,,,,,
